City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
0,Abnub,EG,2022-11-04 17:31:21,27.2696,31.1511,73.62,36,0,10.25,clear sky
1,Albany,US,2022-11-04 17:31:21,42.6001,-73.9662,69.26,55,29,3.0,scattered clouds
2,Krutinka,RU,2022-11-04 17:31:21,56.0055,71.5113,34.36,95,100,17.85,snow
3,Qaanaaq,GL,2022-11-04 17:31:21,77.484,-69.3632,18.93,66,100,7.63,overcast clouds
4,Barbosa Ferraz,BR,2022-11-04 17:31:21,-24.03,-52.0117,74.43,45,0,2.73,clear sky
5,Port Alfred,ZA,2022-11-04 17:31:21,-33.5906,26.891,69.19,89,82,1.99,broken clouds
6,Tasiilaq,GL,2022-11-04 17:31:21,65.6145,-37.6368,30.36,83,100,17.85,light snow
7,Berlevag,NO,2022-11-04 17:31:21,70.8578,29.0864,41.0,81,75,6.91,broken clouds
8,Dikson,RU,2022-11-04 17:31:21,73.5069,80.5464,20.57,96,98,4.9,overcast clouds
9,Fort Frances,CA,2022-11-04 17:31:21,48.5999,-93.4003,33.17,75,40,9.22,scattered clouds
10,Hermanus,ZA,2022-11-04 17:31:21,-34.4187,19.2345,66.79,80,17,15.52,few clouds
11,Punta Arenas,CL,2022-11-04 17:31:21,-53.15,-70.9167,57.31,72,75,17.27,broken clouds
12,Robertson,US,2022-11-04 17:31:21,36.5167,-86.8667,77.04,55,40,11.5,scattered clouds
13,Longyearbyen,SJ,2022-11-04 17:31:21,78.2186,15.6401,28.24,86,75,8.05,broken clouds
14,Tazovskiy,RU,2022-11-04 17:31:21,67.4667,78.7,12.15,95,99,8.99,overcast clouds
15,Upernavik,GL,2022-11-04 17:31:21,72.7868,-56.1549,27.97,89,100,11.05,overcast clouds
16,Ushuaia,AR,2022-11-04 17:31:21,-54.8,-68.3,49.66,71,100,13.8,overcast clouds
17,Vilhena,BR,2022-11-04 17:31:21,-12.7406,-60.1458,80.82,36,0,10.36,clear sky
18,Jamestown,US,2022-11-04 17:31:21,42.097,-79.2353,71.19,57,0,10.36,clear sky
19,Laguna,US,2022-11-04 17:31:21,38.421,-121.4238,56.08,62,0,8.05,clear sky
20,Bredasdorp,ZA,2022-11-04 17:31:21,-34.5322,20.0403,62.71,96,51,5.32,broken clouds
21,Petrila,RO,2022-11-04 17:31:21,45.45,23.4167,47.05,87,96,4.36,overcast clouds
22,San Cristobal,VE,2022-11-04 17:31:21,7.7669,-72.225,80.78,57,100,5.35,overcast clouds
23,Victoria,HK,2022-11-04 17:31:21,22.2855,114.1577,72.32,84,99,13.0,overcast clouds
24,Castro,BR,2022-11-04 17:31:21,-24.7911,-50.0119,65.64,48,9,4.76,clear sky
25,Copiapo,CL,2022-11-04 17:31:21,-27.3667,-70.3333,55.09,24,8,10.83,clear sky
26,Sambava,MG,2022-11-04 17:31:21,-14.2667,50.1667,72.86,84,52,1.5,broken clouds
27,Khatanga,RU,2022-11-04 17:31:21,71.9667,102.5,-11.31,100,91,2.48,overcast clouds
28,Buguruslan,RU,2022-11-04 17:31:21,53.6554,52.442,29.57,89,66,4.52,broken clouds
29,Loukhi,RU,2022-11-04 17:31:21,66.0764,33.0381,37.81,94,100,7.31,overcast clouds
30,Port Elizabeth,ZA,2022-11-04 17:31:21,-33.918,25.5701,72.1,94,20,11.5,few clouds
31,Labuhan,ID,2022-11-04 17:31:21,-6.8844,112.2051,81.03,79,100,3.02,heavy intensity rain
32,Narsaq,GL,2022-11-04 17:31:21,60.9167,-46.05,46.62,74,100,6.06,overcast clouds
33,Arraial Do Cabo,BR,2022-11-04 17:31:21,-22.9661,-42.0278,75.06,46,75,8.05,broken clouds
34,Wilmington,US,2022-11-04 17:31:21,34.2257,-77.9447,82.31,71,20,11.99,few clouds
35,Parakou,BJ,2022-11-04 17:31:21,9.3372,2.6303,84.33,40,89,0.56,overcast clouds
36,Kruisfontein,ZA,2022-11-04 17:31:21,-34.0033,24.7314,69.89,84,14,13.49,few clouds
37,Kjollefjord,NO,2022-11-04 17:31:21,70.9457,27.3465,42.85,87,40,6.91,scattered clouds
38,Talnakh,RU,2022-11-04 17:31:21,69.4865,88.3972,11.21,93,100,11.23,light snow
39,Nizhniy Baskunchak,RU,2022-11-04 17:31:21,48.2198,46.8311,41.77,67,100,4.41,overcast clouds
40,Hobart,AU,2022-11-04 17:31:21,-42.8794,147.3294,53.26,86,100,8.05,overcast clouds
41,Ilulissat,GL,2022-11-04 17:31:21,69.2167,-51.1,28.42,93,100,3.44,light snow
42,Dogondoutchi,NE,2022-11-04 17:31:21,13.6393,4.0287,89.31,18,64,7.05,broken clouds
43,Bereda,ES,2022-11-04 17:31:21,43.2686,-7.5406,55.58,82,100,1.28,overcast clouds
44,La Romana,DO,2022-11-04 17:31:21,18.4273,-68.9728,80.96,100,75,0.0,broken clouds
45,Busselton,AU,2022-11-04 17:31:21,-33.65,115.3333,51.3,90,2,9.42,clear sky
46,Freeport,US,2022-11-04 17:31:21,40.6576,-73.5832,72.01,72,0,8.05,clear sky
47,Mbini,GQ,2022-11-04 17:31:21,1.574,9.6134,82.24,83,98,3.96,overcast clouds
48,Sebinkarahisar,TR,2022-11-04 17:31:21,40.2883,38.4236,45.93,62,57,2.06,broken clouds
49,Bodmin,GB,2022-11-04 17:31:21,50.4715,-4.7243,51.76,71,20,10.36,few clouds
50,Cotonou,BJ,2022-11-04 17:31:21,6.3654,2.4183,84.18,74,40,5.75,scattered clouds
51,Gornyy,RU,2022-11-04 17:31:21,55.1153,83.9059,28.78,82,98,8.32,overcast clouds
52,Soyo,AO,2022-11-04 17:31:21,-6.1349,12.3689,78.98,83,87,7.65,overcast clouds
53,Westerly,US,2022-11-04 17:31:21,41.3776,-71.8273,72.99,76,0,10.36,clear sky
54,Tromso,NO,2022-11-04 17:31:21,69.6496,18.957,36.37,87,0,1.14,clear sky
55,Concepcion Del Uruguay,AR,2022-11-04 17:31:21,-32.4825,-58.2372,77.99,37,0,4.0,clear sky
56,Sadon,RU,2022-11-04 17:31:21,42.8518,44.0037,38.19,87,80,6.51,broken clouds
57,Tarasovskiy,RU,2022-11-04 17:31:21,48.7292,40.3636,37.81,88,99,3.96,overcast clouds
58,Georgetown,MY,2022-11-04 17:31:21,5.4112,100.3354,79.23,95,40,0.0,light rain
59,Salalah,OM,2022-11-04 17:31:21,17.0151,54.0924,80.69,65,0,4.61,clear sky
60,Itaituba,BR,2022-11-04 17:31:21,-4.2761,-55.9836,89.76,58,40,5.75,scattered clouds
61,Jalu,LY,2022-11-04 17:31:21,29.0331,21.5482,68.0,45,24,3.49,few clouds
62,Cape Town,ZA,2022-11-04 17:31:21,-33.9258,18.4232,70.21,80,20,14.97,few clouds
63,Codrington,AU,2022-11-04 17:31:21,-38.2667,141.9667,46.36,91,69,7.07,broken clouds
64,Aksarka,RU,2022-11-04 17:31:21,66.5606,67.7975,8.46,86,42,8.3,scattered clouds
65,Guarapari,BR,2022-11-04 17:31:21,-20.6667,-40.4975,72.9,63,51,15.08,broken clouds
66,Atar,MR,2022-11-04 17:31:21,20.5169,-13.0499,86.67,10,0,14.72,clear sky
67,Kavaratti,IN,2022-11-04 17:31:21,10.5669,72.642,82.33,74,95,7.78,overcast clouds
68,Nanortalik,GL,2022-11-04 17:31:21,60.1432,-45.2371,37.35,74,100,16.04,overcast clouds
69,Bafoulabe,ML,2022-11-04 17:31:21,13.8065,-10.8321,88.9,14,1,4.81,clear sky
70,Bamboo,JM,2022-11-04 17:31:21,18.3922,-77.2643,76.96,67,43,9.15,scattered clouds
71,Rawson,AR,2022-11-04 17:31:21,-43.3002,-65.1023,85.14,17,11,28.32,few clouds
72,Umm Lajj,SA,2022-11-04 17:31:21,25.0213,37.2685,78.24,58,53,4.45,broken clouds
73,Kharp,RU,2022-11-04 17:31:21,66.8014,65.8081,11.21,72,42,4.99,scattered clouds
74,Luderitz,NA,2022-11-04 17:31:21,-26.6481,15.1594,61.9,84,1,7.61,clear sky
75,Inhambane,MZ,2022-11-04 17:31:21,-23.865,35.3833,75.88,86,25,12.3,scattered clouds
76,Hithadhoo,MV,2022-11-04 17:31:21,-0.6,73.0833,80.87,77,79,11.1,broken clouds
77,Mahebourg,MU,2022-11-04 17:31:21,-20.4081,57.7,73.69,88,40,2.3,scattered clouds
78,Tirthahalli,IN,2022-11-04 17:31:21,13.7,75.2333,72.16,81,72,6.89,broken clouds
79,Maniitsoq,GL,2022-11-04 17:31:21,65.4167,-52.9,28.27,67,100,9.89,overcast clouds
80,Lagoa,PT,2022-11-04 17:31:21,39.05,-27.9833,63.88,88,99,11.9,moderate rain
81,Iskateley,RU,2022-11-04 17:31:21,67.6803,53.1512,26.83,92,99,9.86,overcast clouds
82,Diffa,NE,2022-11-04 17:31:21,13.3154,12.6113,79.97,18,60,7.92,broken clouds
83,Klaksvik,FO,2022-11-04 17:31:21,62.2266,-6.589,43.72,93,100,27.22,overcast clouds
84,Yar-Sale,RU,2022-11-04 17:31:21,66.8333,70.8333,10.67,92,82,8.01,broken clouds
85,Constitucion,CL,2022-11-04 17:31:21,-35.3333,-72.4167,59.43,62,86,7.07,overcast clouds
86,Manicore,BR,2022-11-04 17:31:21,-5.8092,-61.3003,91.62,36,68,3.56,broken clouds
87,Meulaboh,ID,2022-11-04 17:31:21,4.1363,96.1285,75.36,91,100,10.94,overcast clouds
88,Uaua,BR,2022-11-04 17:31:21,-9.8414,-39.4817,69.06,93,100,7.05,moderate rain
89,Buraydah,SA,2022-11-04 17:31:21,26.326,43.975,75.65,29,51,11.83,broken clouds
90,Chapais,CA,2022-11-04 17:31:21,49.7834,-74.8492,58.78,67,100,15.93,overcast clouds
91,Kayes,ML,2022-11-04 17:31:21,14.0,-11.0,89.4,13,2,6.26,clear sky
92,Taltal,CL,2022-11-04 17:31:21,-25.4,-70.4833,63.64,66,20,6.06,few clouds
93,Sao Filipe,CV,2022-11-04 17:31:21,14.8961,-24.4956,80.71,62,86,7.58,overcast clouds
94,Verkh-Suetka,RU,2022-11-04 17:31:21,53.3,80.05,37.67,85,100,11.16,overcast clouds
95,Samana,DO,2022-11-04 17:31:21,19.2056,-69.3369,88.02,74,40,4.61,scattered clouds
96,Aquiraz,BR,2022-11-04 17:31:21,-3.9014,-38.3911,90.45,56,63,8.52,broken clouds
97,Fecamp,FR,2022-11-04 17:31:21,49.7579,0.3746,53.31,69,4,13.42,clear sky
98,Maldonado,UY,2022-11-04 17:31:21,-34.6667,-54.9167,69.19,51,47,12.8,scattered clouds
99,Monrovia,LR,2022-11-04 17:31:21,6.3005,-10.7969,80.67,79,58,7.83,broken clouds
100,Norvenich,DE,2022-11-04 17:31:21,50.8,6.65,51.19,89,75,5.75,broken clouds
101,Puerto Ayora,EC,2022-11-04 17:31:21,-0.7393,-90.3518,73.36,73,74,12.17,broken clouds
102,Sumter,US,2022-11-04 17:31:21,28.7086,-82.0831,85.14,63,0,12.8,clear sky
103,Oxford,GB,2022-11-04 17:31:21,51.7522,-1.256,50.49,85,20,6.91,few clouds
104,Thompson,CA,2022-11-04 17:31:21,55.7435,-97.8558,10.56,92,75,0.0,broken clouds
105,Ouesso,CG,2022-11-04 17:31:21,1.6136,16.0517,71.26,96,86,0.65,overcast clouds
106,Paamiut,GL,2022-11-04 17:31:21,61.994,-49.6678,29.73,84,100,28.97,overcast clouds
107,Lewisporte,CA,2022-11-04 17:31:21,49.2499,-55.0482,47.91,69,51,4.56,broken clouds
108,Port-Cartier,CA,2022-11-04 17:31:21,50.0334,-66.8654,46.62,72,89,10.54,overcast clouds
109,Tarata,BO,2022-11-04 17:31:21,-17.6167,-66.0167,80.02,11,0,10.47,clear sky
110,Bubaque,GW,2022-11-04 17:31:21,11.2833,-15.8333,83.95,54,84,4.9,broken clouds
111,East London,ZA,2022-11-04 17:31:21,-33.0153,27.9116,68.94,88,20,8.05,few clouds
112,Kalmunai,LK,2022-11-04 17:31:21,7.4167,81.8167,78.49,83,83,4.5,moderate rain
113,Turukhansk,RU,2022-11-04 17:31:21,65.8167,87.9833,4.05,95,91,6.89,overcast clouds
114,Iqaluit,CA,2022-11-04 17:31:21,63.7506,-68.5145,19.13,63,40,4.61,scattered clouds
115,Kantang,TH,2022-11-04 17:31:21,7.4054,99.5156,75.38,94,100,4.52,light rain
116,Coquimbo,CL,2022-11-04 17:31:21,-29.9533,-71.3436,60.53,67,75,11.5,broken clouds
117,Saldanha,ZA,2022-11-04 17:31:21,-33.0117,17.9442,64.45,95,49,9.53,scattered clouds
118,Saint-Pierre,RE,2022-11-04 17:31:21,-21.3393,55.4781,74.88,69,100,3.44,overcast clouds
119,Oriximina,BR,2022-11-04 17:31:21,-1.7656,-55.8661,87.84,52,99,3.2,overcast clouds
120,Kozhva,RU,2022-11-04 17:31:21,65.1073,57.0459,8.51,95,29,1.45,scattered clouds
121,Puerto Lempira,HN,2022-11-04 17:31:21,15.2667,-83.7667,86.14,70,40,4.61,scattered clouds
122,Pisco,PE,2022-11-04 17:31:21,-13.7,-76.2167,66.25,68,100,8.05,overcast clouds
123,Altamira,BR,2022-11-04 17:31:21,-3.2033,-52.2064,87.89,74,40,8.05,scattered clouds
124,Bykovo,RU,2022-11-04 17:31:21,55.6361,38.0803,34.41,86,100,4.47,overcast clouds
125,Ponta Delgada,PT,2022-11-04 17:31:21,37.7333,-25.6667,73.51,94,75,8.05,broken clouds
126,Henties Bay,NA,2022-11-04 17:31:21,-22.116,14.2845,60.42,85,0,5.61,clear sky
127,Mogadishu,SO,2022-11-04 17:31:21,2.0371,45.3438,78.69,81,26,10.98,scattered clouds
128,Reconquista,AR,2022-11-04 17:31:21,-29.15,-59.65,85.89,19,81,9.1,broken clouds
129,Harper,LR,2022-11-04 17:31:21,4.375,-7.7169,79.48,84,100,6.24,overcast clouds
130,Lebu,CL,2022-11-04 17:31:21,-37.6167,-73.65,58.44,75,98,9.53,overcast clouds
131,Blagoyevo,RU,2022-11-04 17:31:21,63.3667,47.9167,20.52,95,19,2.08,few clouds
132,Qaqortoq,GL,2022-11-04 17:31:21,60.7167,-46.0333,33.58,78,100,5.79,overcast clouds
133,Vestmannaeyjar,IS,2022-11-04 17:31:21,63.4427,-20.2734,45.59,93,100,24.16,overcast clouds
134,Assai,BR,2022-11-04 17:31:21,-23.3733,-50.8414,73.26,42,1,7.52,clear sky
135,Hofn,IS,2022-11-04 17:31:21,64.2539,-15.2082,39.22,65,20,9.22,few clouds
136,Nalut,LY,2022-11-04 17:31:21,30.3333,10.85,66.63,24,0,6.51,clear sky
137,Souillac,MU,2022-11-04 17:31:21,-20.5167,57.5167,73.78,88,40,2.3,scattered clouds
138,Cabedelo,BR,2022-11-04 17:31:21,-6.9811,-34.8339,86.67,69,77,13.65,broken clouds
139,Placido De Castro,BR,2022-11-04 17:31:21,-10.3353,-67.1856,93.29,12,79,5.57,broken clouds
140,Nacogdoches,US,2022-11-04 17:31:21,31.6002,-94.6335,79.57,84,100,11.5,overcast clouds
141,Neuquen,AR,2022-11-04 17:31:21,-38.9516,-68.0591,87.69,11,0,14.97,clear sky
142,Rio Gallegos,AR,2022-11-04 17:31:21,-51.6226,-69.2181,73.45,35,75,18.41,broken clouds
143,San-Pedro,CI,2022-11-04 17:31:21,4.7485,-6.6363,79.25,83,97,5.12,overcast clouds
144,Benjamin Constant,BR,2022-11-04 17:31:21,-4.3831,-70.0311,86.13,58,20,5.75,few clouds
145,Saint-Philippe,RE,2022-11-04 17:31:21,-21.3585,55.7679,74.79,81,91,6.15,overcast clouds
146,Goderich,CA,2022-11-04 17:31:21,43.7501,-81.7165,68.92,60,80,18.41,broken clouds
147,Bikramganj,IN,2022-11-04 17:31:21,25.2,84.25,70.05,57,0,2.01,clear sky
148,Comodoro Rivadavia,AR,2022-11-04 17:31:21,-45.8667,-67.5,76.86,22,0,5.75,clear sky
149,Plouzane,FR,2022-11-04 17:31:21,48.3833,-4.6167,50.32,79,0,6.91,clear sky
150,Djambala,CG,2022-11-04 17:31:21,-2.5447,14.7533,65.34,97,100,2.17,overcast clouds
151,Gurlan,UZ,2022-11-04 17:31:21,41.8447,60.3919,40.91,47,3,3.22,clear sky
152,Vytegra,RU,2022-11-04 17:31:21,61.0064,36.4481,32.27,90,98,0.81,overcast clouds
153,San Carlos De Bariloche,AR,2022-11-04 17:31:21,-41.1456,-71.3082,80.35,13,0,6.91,clear sky
154,Namibe,AO,2022-11-04 17:31:21,-15.1961,12.1522,68.45,72,63,12.41,broken clouds
155,Bambous Virieux,MU,2022-11-04 17:31:21,-20.3428,57.7575,73.65,88,40,2.3,scattered clouds
156,Tabou,CI,2022-11-04 17:31:21,4.423,-7.3528,79.48,83,100,6.13,overcast clouds
157,Diego De Almagro,CL,2022-11-04 17:31:21,-26.3667,-70.05,79.36,18,0,12.46,clear sky
158,Sovetskiy,RU,2022-11-04 17:31:21,61.3614,63.5842,22.19,95,43,6.31,scattered clouds
159,New Norfolk,AU,2022-11-04 17:31:21,-42.7826,147.0587,52.92,72,92,1.72,overcast clouds
160,Saint George,US,2022-11-04 17:31:21,37.1041,-113.5841,46.44,42,0,4.61,clear sky
161,Cururupu,BR,2022-11-04 17:31:21,-1.8283,-44.8683,85.86,63,90,5.64,overcast clouds
162,Amapa,BR,2022-11-04 17:31:21,1.0,-52.0,75.56,85,100,3.06,overcast clouds
163,Moose Factory,CA,2022-11-04 17:31:21,51.2585,-80.6094,39.2,93,100,9.22,mist
164,Matamoros,MX,2022-11-04 17:31:21,25.5333,-103.25,82.11,14,20,14.97,few clouds
165,Nizwa,OM,2022-11-04 17:31:21,22.9333,57.5333,75.24,30,59,2.33,broken clouds
166,Salekhard,RU,2022-11-04 17:31:21,66.53,66.6019,7.18,84,46,6.53,scattered clouds
167,Vardo,NO,2022-11-04 17:31:21,70.3705,31.1107,39.18,87,75,11.5,broken clouds
168,Irbit,RU,2022-11-04 17:31:21,57.6705,63.071,31.35,97,100,12.19,snow
169,Cockburn Town,TC,2022-11-04 17:31:21,21.4612,-71.1419,80.46,69,22,10.42,few clouds
170,Edwardsville,US,2022-11-04 17:31:21,38.8114,-89.9532,78.24,57,75,21.0,broken clouds
171,Qandala,SO,2022-11-04 17:31:21,11.472,49.8728,79.52,74,7,4.14,clear sky
172,Kommunisticheskiy,RU,2022-11-04 17:31:21,61.6789,64.4819,18.77,98,68,4.61,broken clouds
173,Clyde River,CA,2022-11-04 17:31:21,70.4692,-68.5914,8.83,72,100,10.36,overcast clouds
174,Ribeira Grande,PT,2022-11-04 17:31:21,38.5167,-28.7,68.77,94,75,14.97,broken clouds
175,Hobe Sound,US,2022-11-04 17:31:21,27.0595,-80.1364,85.98,66,40,14.97,scattered clouds
176,Ilmenau,DE,2022-11-04 17:31:21,50.6833,10.9,47.19,85,100,3.09,overcast clouds
177,Andenes,NO,2022-11-04 17:31:21,69.3143,16.1194,41.94,87,0,9.22,clear sky
178,Hobyo,SO,2022-11-04 17:31:21,5.3505,48.5268,81.01,70,40,11.03,scattered clouds
179,Porosozero,RU,2022-11-04 17:31:21,62.7191,32.727,32.23,84,94,3.04,overcast clouds
180,Visnes,NO,2022-11-04 17:31:21,59.3556,5.2242,48.25,87,75,16.11,light intensity drizzle rain
181,Ostrovnoy,RU,2022-11-04 17:31:21,68.0531,39.5131,35.89,96,90,14.32,overcast clouds
182,Sao Jose Da Coroa Grande,BR,2022-11-04 17:31:21,-8.8978,-35.1478,84.33,62,91,16.53,overcast clouds
183,Zwedru,LR,2022-11-04 17:31:21,6.0667,-8.1281,79.25,76,90,2.19,overcast clouds
184,Walvis Bay,NA,2022-11-04 17:31:21,-22.9575,14.5053,65.35,68,7,12.66,clear sky
185,Carnarvon,AU,2022-11-04 17:31:21,-24.8667,113.6333,66.79,74,0,23.13,clear sky
186,Iquitos,PE,2022-11-04 17:31:21,-3.7481,-73.2472,84.24,61,40,3.44,scattered clouds
187,Santa Cruz,BO,2022-11-04 17:31:21,-17.8,-63.1667,84.25,26,0,12.66,clear sky
188,Kutum,SD,2022-11-04 17:31:21,14.2,24.6667,73.65,18,100,5.66,overcast clouds
189,Tiznit,MA,2022-11-04 17:31:21,29.5833,-9.5,68.11,65,1,4.38,clear sky
190,Garoua,CM,2022-11-04 17:31:21,9.3,13.4,82.4,24,18,5.64,few clouds
